airpt,value,airpt_lat,airpt_lon
LEMD,1008955,40.471926,-3.56264
LEBL,581577,41.2971,2.0784599999999998
LFPG,230299,49.012798,2.55
LEPA,225267,39.551700591999996,2.73881006241
LEMG,217137,36.67490005493164,-4.499110221862793
EDDF,192390,50.033333,8.570556
LEZL,176486,37.41799926757813,-5.8931097984313965
GCTS,158058,28.044500351,-16.5725002289
GCRR,144496,28.945498999999998,-13.6052
EGSS,120799,51.8849983215,0.23499999940400002
EDDM,96663,48.353802,11.7861
GCLP,92402,27.931900024414066,-15.38659954071045
LEVC,91762,39.4893,-0.481625
EBBR,78616,50.9014015198,4.48443984985
LEAL,53082,38.28219985961914,-0.5581560134887695
GCXO,50165,28.4827003479,-16.341499328599998
EGKK,49309,51.148102,-0.190278
GCFV,45309,28.452699661254886,-13.863800048828125
LEST,44314,42.89630126953125,-8.415140151977539
LPPT,41202,38.7813,-9.13592
LEMH,40595,39.86259841918945,4.2186498641967765
