airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
GCLP,407152,GCFV,28.452699661254886,-13.863800048828125,27.931900024414066,-15.38659954071045
EDDL,241141,GCFV,28.452699661254886,-13.863800048828125,51.289501,6.766780000000001
LEMD,238443,GCFV,28.452699661254886,-13.863800048828125,40.471926,-3.56264
EGCC,210076,GCFV,28.452699661254886,-13.863800048828125,53.35369873046875,-2.2749500274658203
EGKK,202317,GCFV,28.452699661254886,-13.863800048828125,51.148102,-0.190278
EDDF,181715,GCFV,28.452699661254886,-13.863800048828125,50.033333,8.570556
EDDH,126333,GCFV,28.452699661254886,-13.863800048828125,53.630401611328004,9.988229751586902
EDDM,114673,GCFV,28.452699661254886,-13.863800048828125,48.353802,11.7861
GCXO,113551,GCFV,28.452699661254886,-13.863800048828125,28.4827003479,-16.341499328599998
EDDS,112403,GCFV,28.452699661254886,-13.863800048828125,48.6898994446,9.22196006775
EDDV,111850,GCFV,28.452699661254886,-13.863800048828125,52.461101532,9.68507957458
EHAM,108892,GCFV,28.452699661254886,-13.863800048828125,52.308601,4.76389
EDDK,88501,GCFV,28.452699661254886,-13.863800048828125,50.865898132299996,7.1427397728
EGBB,80045,GCFV,28.452699661254886,-13.863800048828125,52.4538993835,-1.7480299472799998
EDDN,72341,GCFV,28.452699661254886,-13.863800048828125,49.498699,11.078056
EGGD,65211,GCFV,28.452699661254886,-13.863800048828125,51.382702,-2.71909
EGNX,63513,GCFV,28.452699661254886,-13.863800048828125,52.8311004639,-1.32806003094
EDDT,63259,GCFV,28.452699661254886,-13.863800048828125,52.5597,13.2877
EIDW,62368,GCFV,28.452699661254886,-13.863800048828125,53.421299,-6.27007
EGGW,51429,GCFV,28.452699661254886,-13.863800048828125,51.87469863891602,-0.36833301186561584
EDLP,48277,GCFV,28.452699661254886,-13.863800048828125,51.614101409899995,8.616319656369999
EGPF,45261,GCFV,28.452699661254886,-13.863800048828125,55.8718986511,-4.43306016922
EGSS,40003,GCFV,28.452699661254886,-13.863800048828125,51.8849983215,0.23499999940400002
