airpt_arr,pax2002,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEBL,468661,LEMH,39.86259841918945,4.2186498641967765,41.2971,2.0784599999999998
EGKK,333830,LEMH,39.86259841918945,4.2186498641967765,51.148102,-0.190278
EGCC,281351,LEMH,39.86259841918945,4.2186498641967765,53.35369873046875,-2.2749500274658203
LEPA,247273,LEMH,39.86259841918945,4.2186498641967765,39.551700591999996,2.73881006241
LEMD,156773,LEMH,39.86259841918945,4.2186498641967765,40.471926,-3.56264
EGBB,115795,LEMH,39.86259841918945,4.2186498641967765,52.4538993835,-1.7480299472799998
EGGW,96168,LEMH,39.86259841918945,4.2186498641967765,51.87469863891602,-0.36833301186561584
EGNX,79169,LEMH,39.86259841918945,4.2186498641967765,52.8311004639,-1.32806003094
EGSS,77130,LEMH,39.86259841918945,4.2186498641967765,51.8849983215,0.23499999940400002
EGNT,60799,LEMH,39.86259841918945,4.2186498641967765,55.037498474121094,-1.6916699409484863
EGGD,54009,LEMH,39.86259841918945,4.2186498641967765,51.382702,-2.71909
EGPF,51998,LEMH,39.86259841918945,4.2186498641967765,55.8718986511,-4.43306016922
EIDW,47871,LEMH,39.86259841918945,4.2186498641967765,53.421299,-6.27007
LIMC,42715,LEMH,39.86259841918945,4.2186498641967765,45.6306,8.728110000000001
