airpt_arr,pax2011,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LIME,91162,LEZG,41.66619873046875,-1.0415500402450562,45.673901,9.70417
EGSS,66003,LEZG,41.66619873046875,-1.0415500402450562,51.8849983215,0.23499999940400002
LEZL,65554,LEZG,41.66619873046875,-1.0415500402450562,37.41799926757813,-5.8931097984313965
EBCI,59051,LEZG,41.66619873046875,-1.0415500402450562,50.459202000000005,4.4538199999999994
GCTS,43535,LEZG,41.66619873046875,-1.0415500402450562,28.044500351,-16.5725002289
LIRA,42873,LEZG,41.66619873046875,-1.0415500402450562,41.7994,12.5949
LEPA,42124,LEZG,41.66619873046875,-1.0415500402450562,39.551700591999996,2.73881006241
LEAL,40590,LEZG,41.66619873046875,-1.0415500402450562,38.28219985961914,-0.5581560134887695
LRBS,40584,LEZG,41.66619873046875,-1.0415500402450562,44.50320053100586,26.10210037231445
LFOB,40321,LEZG,41.66619873046875,-1.0415500402450562,49.45439910888672,2.1127800941467285
LRCL,38893,LEZG,41.66619873046875,-1.0415500402450562,46.78519821166992,23.686199188232425
LIPE,36713,LEZG,41.66619873046875,-1.0415500402450562,44.5354,11.2887
LEMG,36350,LEZG,41.66619873046875,-1.0415500402450562,36.67490005493164,-4.499110221862793
GCRR,32497,LEZG,41.66619873046875,-1.0415500402450562,28.945498999999998,-13.6052
GCLP,24360,LEZG,41.66619873046875,-1.0415500402450562,27.931900024414066,-15.38659954071045
