airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,598201,LEST,42.89630126953125,-8.415140151977539,40.471926,-3.56264
LEBL,298725,LEST,42.89630126953125,-8.415140151977539,41.2971,2.0784599999999998
LEPA,154382,LEST,42.89630126953125,-8.415140151977539,39.551700591999996,2.73881006241
GCTS,94176,LEST,42.89630126953125,-8.415140151977539,28.044500351,-16.5725002289
EGSS,89496,LEST,42.89630126953125,-8.415140151977539,51.8849983215,0.23499999940400002
LEVC,73102,LEST,42.89630126953125,-8.415140151977539,39.4893,-0.481625
GCLP,64417,LEST,42.89630126953125,-8.415140151977539,27.931900024414066,-15.38659954071045
LIRA,61994,LEST,42.89630126953125,-8.415140151977539,41.7994,12.5949
GCRR,52785,LEST,42.89630126953125,-8.415140151977539,28.945498999999998,-13.6052
LEMG,48153,LEST,42.89630126953125,-8.415140151977539,36.67490005493164,-4.499110221862793
LFPG,46010,LEST,42.89630126953125,-8.415140151977539,49.012798,2.55
LEBB,44314,LEST,42.89630126953125,-8.415140151977539,43.30110168457031,-2.9106099605560303
GCFV,42661,LEST,42.89630126953125,-8.415140151977539,28.452699661254886,-13.863800048828125
EDFH,42199,LEST,42.89630126953125,-8.415140151977539,49.9487,7.263889999999999
LEZL,38095,LEST,42.89630126953125,-8.415140151977539,37.41799926757813,-5.8931097984313965
EGGP,23555,LEST,42.89630126953125,-8.415140151977539,53.33359909057617,-2.849720001220703
