airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,745848,LEBB,43.30110168457031,-2.9106099605560303,40.471926,-3.56264
LEBL,379880,LEBB,43.30110168457031,-2.9106099605560303,41.2971,2.0784599999999998
EDDF,164431,LEBB,43.30110168457031,-2.9106099605560303,50.033333,8.570556
EGSS,138269,LEBB,43.30110168457031,-2.9106099605560303,51.8849983215,0.23499999940400002
LFPG,130882,LEBB,43.30110168457031,-2.9106099605560303,49.012798,2.55
GCTS,128069,LEBB,43.30110168457031,-2.9106099605560303,28.044500351,-16.5725002289
LEPA,89022,LEBB,43.30110168457031,-2.9106099605560303,39.551700591999996,2.73881006241
EGKK,74636,LEBB,43.30110168457031,-2.9106099605560303,51.148102,-0.190278
LEZL,63317,LEBB,43.30110168457031,-2.9106099605560303,37.41799926757813,-5.8931097984313965
EGLL,61720,LEBB,43.30110168457031,-2.9106099605560303,51.4706,-0.461941
LEVC,60164,LEBB,43.30110168457031,-2.9106099605560303,39.4893,-0.481625
LEMG,51914,LEBB,43.30110168457031,-2.9106099605560303,36.67490005493164,-4.499110221862793
GCRR,46153,LEBB,43.30110168457031,-2.9106099605560303,28.945498999999998,-13.6052
LIMC,37948,LEBB,43.30110168457031,-2.9106099605560303,45.6306,8.728110000000001
EBBR,36349,LEBB,43.30110168457031,-2.9106099605560303,50.9014015198,4.48443984985
LEST,35478,LEBB,43.30110168457031,-2.9106099605560303,42.89630126953125,-8.415140151977539
LEAL,21687,LEBB,43.30110168457031,-2.9106099605560303,38.28219985961914,-0.5581560134887695
EDDL,21426,LEBB,43.30110168457031,-2.9106099605560303,51.289501,6.766780000000001
