airpt_arr,pax2013,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,250366,LEXJ,43.427101135253906,-3.82000994682312,40.471926,-3.56264
LEBL,107838,LEXJ,43.427101135253906,-3.82000994682312,41.2971,2.0784599999999998
EGSS,93619,LEXJ,43.427101135253906,-3.82000994682312,51.8849983215,0.23499999940400002
LIRA,61023,LEXJ,43.427101135253906,-3.82000994682312,41.7994,12.5949
LEZL,55232,LEXJ,43.427101135253906,-3.82000994682312,37.41799926757813,-5.8931097984313965
EBCI,50416,LEXJ,43.427101135253906,-3.82000994682312,50.459202000000005,4.4538199999999994
LEPA,46674,LEXJ,43.427101135253906,-3.82000994682312,39.551700591999996,2.73881006241
LEVC,38778,LEXJ,43.427101135253906,-3.82000994682312,39.4893,-0.481625
LFOB,37476,LEXJ,43.427101135253906,-3.82000994682312,49.45439910888672,2.1127800941467285
GCTS,36171,LEXJ,43.427101135253906,-3.82000994682312,28.044500351,-16.5725002289
LIME,33820,LEXJ,43.427101135253906,-3.82000994682312,45.673901,9.70417
LEMG,29112,LEXJ,43.427101135253906,-3.82000994682312,36.67490005493164,-4.499110221862793
EDFH,28030,LEXJ,43.427101135253906,-3.82000994682312,49.9487,7.263889999999999
GCRR,24843,LEXJ,43.427101135253906,-3.82000994682312,28.945498999999998,-13.6052
EIDW,21604,LEXJ,43.427101135253906,-3.82000994682312,53.421299,-6.27007
