airpt_arr,pax2005,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
EGSS,435679,LEGE,41.901000976999995,2.7605500221,51.8849983215,0.23499999940400002
LIRA,226578,LEGE,41.901000976999995,2.7605500221,41.7994,12.5949
EBCI,224856,LEGE,41.901000976999995,2.7605500221,50.459202000000005,4.4538199999999994
LIME,224037,LEGE,41.901000976999995,2.7605500221,45.673901,9.70417
LFOB,217234,LEGE,41.901000976999995,2.7605500221,49.45439910888672,2.1127800941467285
EDFH,217115,LEGE,41.901000976999995,2.7605500221,49.9487,7.263889999999999
EGNX,121705,LEGE,41.901000976999995,2.7605500221,52.8311004639,-1.32806003094
EGPK,118575,LEGE,41.901000976999995,2.7605500221,55.5093994140625,-4.586669921875
EGGP,118080,LEGE,41.901000976999995,2.7605500221,53.33359909057617,-2.849720001220703
LIPH,117219,LEGE,41.901000976999995,2.7605500221,45.648399,12.1944
EDSB,115790,LEGE,41.901000976999995,2.7605500221,48.7793998718,8.08049964905
EHEH,114083,LEGE,41.901000976999995,2.7605500221,51.4500999451,5.374529838559999
LIEA,111904,LEGE,41.901000976999995,2.7605500221,40.632099,8.29077
EDLV,111164,LEGE,41.901000976999995,2.7605500221,51.6024017334,6.14216995239
EGHH,109402,LEGE,41.901000976999995,2.7605500221,50.77999877929688,-1.8424999713897705
EGGW,108962,LEGE,41.901000976999995,2.7605500221,51.87469863891602,-0.36833301186561584
ESKN,98503,LEGE,41.901000976999995,2.7605500221,58.78860092163086,16.912200927734375
LIRP,93886,LEGE,41.901000976999995,2.7605500221,43.683899,10.3927
EGNH,82591,LEGE,41.901000976999995,2.7605500221,53.77170181274414,-3.0286099910736084
EHRD,74871,LEGE,41.901000976999995,2.7605500221,51.956902,4.43722
EGCC,64099,LEGE,41.901000976999995,2.7605500221,53.35369873046875,-2.2749500274658203
EIDW,43120,LEGE,41.901000976999995,2.7605500221,53.421299,-6.27007
EINN,40099,LEGE,41.901000976999995,2.7605500221,52.702,-8.92482
