airpt_arr,pax2015,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
EGSS,133601,LELC,37.775001525878906,-0.8123890161514282,51.8849983215,0.23499999940400002
EGKK,133508,LELC,37.775001525878906,-0.8123890161514282,51.148102,-0.190278
EGCC,109890,LELC,37.775001525878906,-0.8123890161514282,53.35369873046875,-2.2749500274658203
EGNX,93108,LELC,37.775001525878906,-0.8123890161514282,52.8311004639,-1.32806003094
EIDW,81078,LELC,37.775001525878906,-0.8123890161514282,53.421299,-6.27007
EGGW,74870,LELC,37.775001525878906,-0.8123890161514282,51.87469863891602,-0.36833301186561584
EGGD,68146,LELC,37.775001525878906,-0.8123890161514282,51.382702,-2.71909
EGNM,58994,LELC,37.775001525878906,-0.8123890161514282,53.86589813232422,-1.6605700254440308
EGHH,52742,LELC,37.775001525878906,-0.8123890161514282,50.77999877929688,-1.8424999713897705
EGBB,43834,LELC,37.775001525878906,-0.8123890161514282,52.4538993835,-1.7480299472799998
EBCI,30997,LELC,37.775001525878906,-0.8123890161514282,50.459202000000005,4.4538199999999994
EGNT,29173,LELC,37.775001525878906,-0.8123890161514282,55.037498474121094,-1.6916699409484863
EGPK,24281,LELC,37.775001525878906,-0.8123890161514282,55.5093994140625,-4.586669921875
EHEH,20791,LELC,37.775001525878906,-0.8123890161514282,51.4500999451,5.374529838559999
