airpt_arr,pax2011,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
EGSS,185868,LEGE,41.901000976999995,2.7605500221,51.8849983215,0.23499999940400002
LIRP,129463,LEGE,41.901000976999995,2.7605500221,43.683899,10.3927
EDFH,108794,LEGE,41.901000976999995,2.7605500221,49.9487,7.263889999999999
LIPE,100817,LEGE,41.901000976999995,2.7605500221,44.5354,11.2887
ESKN,95839,LEGE,41.901000976999995,2.7605500221,58.78860092163086,16.912200927734375
LEMD,95461,LEGE,41.901000976999995,2.7605500221,40.471926,-3.56264
EBCI,90791,LEGE,41.901000976999995,2.7605500221,50.459202000000005,4.4538199999999994
EHEH,87047,LEGE,41.901000976999995,2.7605500221,51.4500999451,5.374529838559999
LFOB,84461,LEGE,41.901000976999995,2.7605500221,49.45439910888672,2.1127800941467285
EHAM,83997,LEGE,41.901000976999995,2.7605500221,52.308601,4.76389
LIEA,83904,LEGE,41.901000976999995,2.7605500221,40.632099,8.29077
EGGD,79101,LEGE,41.901000976999995,2.7605500221,51.382702,-2.71909
EGPK,75632,LEGE,41.901000976999995,2.7605500221,55.5093994140625,-4.586669921875
LIME,72564,LEGE,41.901000976999995,2.7605500221,45.673901,9.70417
EDSB,71634,LEGE,41.901000976999995,2.7605500221,48.7793998718,8.08049964905
EGNX,69970,LEGE,41.901000976999995,2.7605500221,52.8311004639,-1.32806003094
EGGP,68526,LEGE,41.901000976999995,2.7605500221,53.33359909057617,-2.849720001220703
LEPA,67107,LEGE,41.901000976999995,2.7605500221,39.551700591999996,2.73881006241
EDDW,60854,LEGE,41.901000976999995,2.7605500221,53.0475006104,8.78666973114
GMMX,58571,LEGE,41.901000976999995,2.7605500221,31.6068992615,-8.036299705510002
GMFF,53314,LEGE,41.901000976999995,2.7605500221,33.927299499499995,-4.977960109709999
EGBB,52769,LEGE,41.901000976999995,2.7605500221,52.4538993835,-1.7480299472799998
EGHH,52277,LEGE,41.901000976999995,2.7605500221,50.77999877929688,-1.8424999713897705
EGGW,49073,LEGE,41.901000976999995,2.7605500221,51.87469863891602,-0.36833301186561584
EGKK,48908,LEGE,41.901000976999995,2.7605500221,51.148102,-0.190278
EDJA,48039,LEGE,41.901000976999995,2.7605500221,47.9888000488,10.2395000458
