airpt_arr,pax2015,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
GCLP,407988,GCFV,28.452699661254886,-13.863800048828125,27.931900024414066,-15.38659954071045
EDDL,269089,GCFV,28.452699661254886,-13.863800048828125,51.289501,6.766780000000001
LEMD,264230,GCFV,28.452699661254886,-13.863800048828125,40.471926,-3.56264
EGKK,242368,GCFV,28.452699661254886,-13.863800048828125,51.148102,-0.190278
EGCC,211225,GCFV,28.452699661254886,-13.863800048828125,53.35369873046875,-2.2749500274658203
EDDF,196847,GCFV,28.452699661254886,-13.863800048828125,50.033333,8.570556
GCXO,165408,GCFV,28.452699661254886,-13.863800048828125,28.4827003479,-16.341499328599998
EDDV,153804,GCFV,28.452699661254886,-13.863800048828125,52.461101532,9.68507957458
EDDM,148501,GCFV,28.452699661254886,-13.863800048828125,48.353802,11.7861
EDDH,138890,GCFV,28.452699661254886,-13.863800048828125,53.630401611328004,9.988229751586902
EDDS,127291,GCFV,28.452699661254886,-13.863800048828125,48.6898994446,9.22196006775
EGBB,125565,GCFV,28.452699661254886,-13.863800048828125,52.4538993835,-1.7480299472799998
EDDK,107101,GCFV,28.452699661254886,-13.863800048828125,50.865898132299996,7.1427397728
LEBL,106285,GCFV,28.452699661254886,-13.863800048828125,41.2971,2.0784599999999998
LFPG,102913,GCFV,28.452699661254886,-13.863800048828125,49.012798,2.55
EGSS,102879,GCFV,28.452699661254886,-13.863800048828125,51.8849983215,0.23499999940400002
EGNX,97041,GCFV,28.452699661254886,-13.863800048828125,52.8311004639,-1.32806003094
EIDW,90212,GCFV,28.452699661254886,-13.863800048828125,53.421299,-6.27007
EHAM,85442,GCFV,28.452699661254886,-13.863800048828125,52.308601,4.76389
EGGD,71442,GCFV,28.452699661254886,-13.863800048828125,51.382702,-2.71909
LIME,71273,GCFV,28.452699661254886,-13.863800048828125,45.673901,9.70417
EGPF,64108,GCFV,28.452699661254886,-13.863800048828125,55.8718986511,-4.43306016922
EDDP,62982,GCFV,28.452699661254886,-13.863800048828125,51.423889,12.236388999999999
EDDN,60109,GCFV,28.452699661254886,-13.863800048828125,49.498699,11.078056
LSZH,58824,GCFV,28.452699661254886,-13.863800048828125,47.464698999999996,8.54917
EGGP,57083,GCFV,28.452699661254886,-13.863800048828125,53.33359909057617,-2.849720001220703
EGNM,57047,GCFV,28.452699661254886,-13.863800048828125,53.86589813232422,-1.6605700254440308
EPWA,54261,GCFV,28.452699661254886,-13.863800048828125,52.1656990051,20.9671001434
ESSA,53261,GCFV,28.452699661254886,-13.863800048828125,59.651901245116996,17.918600082397
LFSB,50995,GCFV,28.452699661254886,-13.863800048828125,47.59,7.5291667
EDLP,50636,GCFV,28.452699661254886,-13.863800048828125,51.614101409899995,8.616319656369999
EDDT,50029,GCFV,28.452699661254886,-13.863800048828125,52.5597,13.2877
LFRS,48793,GCFV,28.452699661254886,-13.863800048828125,47.15319824220001,-1.61073005199
