airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEMD,838199,LEAL,38.28219985961914,-0.5581560134887695,40.471926,-3.56264
EGKK,747251,LEAL,38.28219985961914,-0.5581560134887695,51.148102,-0.190278
EGCC,742262,LEAL,38.28219985961914,-0.5581560134887695,53.35369873046875,-2.2749500274658203
LEBL,478459,LEAL,38.28219985961914,-0.5581560134887695,41.2971,2.0784599999999998
LEPA,336814,LEAL,38.28219985961914,-0.5581560134887695,39.551700591999996,2.73881006241
EGGW,289384,LEAL,38.28219985961914,-0.5581560134887695,51.87469863891602,-0.36833301186561584
EGPF,284381,LEAL,38.28219985961914,-0.5581560134887695,55.8718986511,-4.43306016922
EGSS,280592,LEAL,38.28219985961914,-0.5581560134887695,51.8849983215,0.23499999940400002
EGBB,273725,LEAL,38.28219985961914,-0.5581560134887695,52.4538993835,-1.7480299472799998
EGNX,262882,LEAL,38.28219985961914,-0.5581560134887695,52.8311004639,-1.32806003094
EGNT,214493,LEAL,38.28219985961914,-0.5581560134887695,55.037498474121094,-1.6916699409484863
EHAM,213135,LEAL,38.28219985961914,-0.5581560134887695,52.308601,4.76389
EGGD,205226,LEAL,38.28219985961914,-0.5581560134887695,51.382702,-2.71909
ENGM,194877,LEAL,38.28219985961914,-0.5581560134887695,60.193901062011996,11.100399971008
EGNM,184626,LEAL,38.28219985961914,-0.5581560134887695,53.86589813232422,-1.6605700254440308
EDDL,166863,LEAL,38.28219985961914,-0.5581560134887695,51.289501,6.766780000000001
EGFF,165668,LEAL,38.28219985961914,-0.5581560134887695,51.39670181274414,-3.343329906463623
EIDW,150585,LEAL,38.28219985961914,-0.5581560134887695,53.421299,-6.27007
EBBR,143649,LEAL,38.28219985961914,-0.5581560134887695,50.9014015198,4.48443984985
EGGP,142951,LEAL,38.28219985961914,-0.5581560134887695,53.33359909057617,-2.849720001220703
EHRD,106346,LEAL,38.28219985961914,-0.5581560134887695,51.956902,4.43722
EGPH,101639,LEAL,38.28219985961914,-0.5581560134887695,55.95000076293945,-3.372499942779541
ESSA,98658,LEAL,38.28219985961914,-0.5581560134887695,59.651901245116996,17.918600082397
EGAA,94574,LEAL,38.28219985961914,-0.5581560134887695,54.6575012207,-6.21582984924
EDDF,93896,LEAL,38.28219985961914,-0.5581560134887695,50.033333,8.570556
LSGG,92061,LEAL,38.28219985961914,-0.5581560134887695,46.23809814453125,6.108950138092041
EKCH,90622,LEAL,38.28219985961914,-0.5581560134887695,55.617900848389,12.656000137328999
LFPO,87768,LEAL,38.28219985961914,-0.5581560134887695,48.7233333,2.3794444
EGCN,86563,LEAL,38.28219985961914,-0.5581560134887695,53.4805378105,-1.01065635681
EDLW,83182,LEAL,38.28219985961914,-0.5581560134887695,51.518299102799986,7.61223983765
