airpt,value,airpt_lat,airpt_lon
EGCC,702276,53.35369873046875,-2.2749500274658203
EGKK,629479,51.148102,-0.190278
EGBB,277569,52.4538993835,-1.7480299472799998
EDDL,246988,51.289501,6.766780000000001
EGNX,231260,52.8311004639,-1.32806003094
EGPF,224999,55.8718986511,-4.43306016922
LEMD,220159,40.471926,-3.56264
EBBR,214503,50.9014015198,4.48443984985
EHAM,207055,52.308601,4.76389
EDDF,184784,50.033333,8.570556
EGNT,172504,55.037498474121094,-1.6916699409484863
EGGW,164652,51.87469863891602,-0.36833301186561584
EFHK,164163,60.317199707031,24.963300704956
EGGD,157554,51.382702,-2.71909
EGNM,154308,53.86589813232422,-1.6605700254440308
EGSS,152626,51.8849983215,0.23499999940400002
EBCI,138137,50.459202000000005,4.4538199999999994
EIDW,130253,53.421299,-6.27007
EGPH,127590,55.95000076293945,-3.372499942779541
EDDH,125002,53.630401611328004,9.988229751586902
ESSA,119968,59.651901245116996,17.918600082397
ENGM,113175,60.193901062011996,11.100399971008
EDDM,107103,48.353802,11.7861
UUDD,105181,55.40879821777344,37.90629959106445
EKCH,98961,55.617900848389,12.656000137328999
EDDT,96657,52.5597,13.2877
LEST,92201,42.89630126953125,-8.415140151977539
EKBI,91953,55.7402992249,9.15178012848
UUEE,86096,55.972599,37.4146
EDDK,85836,50.865898132299996,7.1427397728
EDDS,85320,48.6898994446,9.22196006775
LSZH,81687,47.464698999999996,8.54917
ESGG,79927,57.662799835205,12.279800415039
EDDB,78883,52.380001,13.5225
LEBL,76730,41.2971,2.0784599999999998
