airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
EGKK,1069121,LEMG,36.67490005493164,-4.499110221862793,51.148102,-0.190278
EGCC,563361,LEMG,36.67490005493164,-4.499110221862793,53.35369873046875,-2.2749500274658203
LEBL,526122,LEMG,36.67490005493164,-4.499110221862793,41.2971,2.0784599999999998
EIDW,465334,LEMG,36.67490005493164,-4.499110221862793,53.421299,-6.27007
EBBR,463739,LEMG,36.67490005493164,-4.499110221862793,50.9014015198,4.48443984985
LFPG,432603,LEMG,36.67490005493164,-4.499110221862793,49.012798,2.55
EHAM,385020,LEMG,36.67490005493164,-4.499110221862793,52.308601,4.76389
EKCH,366493,LEMG,36.67490005493164,-4.499110221862793,55.617900848389,12.656000137328999
EGSS,356563,LEMG,36.67490005493164,-4.499110221862793,51.8849983215,0.23499999940400002
LEMD,318357,LEMG,36.67490005493164,-4.499110221862793,40.471926,-3.56264
EGGD,300381,LEMG,36.67490005493164,-4.499110221862793,51.382702,-2.71909
EGBB,298591,LEMG,36.67490005493164,-4.499110221862793,52.4538993835,-1.7480299472799998
EGNX,277714,LEMG,36.67490005493164,-4.499110221862793,52.8311004639,-1.32806003094
ESSA,274481,LEMG,36.67490005493164,-4.499110221862793,59.651901245116996,17.918600082397
EGGW,258225,LEMG,36.67490005493164,-4.499110221862793,51.87469863891602,-0.36833301186561584
EFHK,255913,LEMG,36.67490005493164,-4.499110221862793,60.317199707031,24.963300704956
LSZH,250994,LEMG,36.67490005493164,-4.499110221862793,47.464698999999996,8.54917
ENGM,247997,LEMG,36.67490005493164,-4.499110221862793,60.193901062011996,11.100399971008
EGNM,232837,LEMG,36.67490005493164,-4.499110221862793,53.86589813232422,-1.6605700254440308
LEPA,226845,LEMG,36.67490005493164,-4.499110221862793,39.551700591999996,2.73881006241
LFPO,204027,LEMG,36.67490005493164,-4.499110221862793,48.7233333,2.3794444
EGGP,196531,LEMG,36.67490005493164,-4.499110221862793,53.33359909057617,-2.849720001220703
EHEH,194490,LEMG,36.67490005493164,-4.499110221862793,51.4500999451,5.374529838559999
GEML,188865,LEMG,36.67490005493164,-4.499110221862793,35.279800415,-2.9562599658999997
EDDM,186057,LEMG,36.67490005493164,-4.499110221862793,48.353802,11.7861
LEBB,174372,LEMG,36.67490005493164,-4.499110221862793,43.30110168457031,-2.9106099605560303
EGNT,170996,LEMG,36.67490005493164,-4.499110221862793,55.037498474121094,-1.6916699409484863
LIRF,167803,LEMG,36.67490005493164,-4.499110221862793,41.800277799999996,12.238888900000001
LSGG,165389,LEMG,36.67490005493164,-4.499110221862793,46.23809814453125,6.108950138092041
EGPF,165337,LEMG,36.67490005493164,-4.499110221862793,55.8718986511,-4.43306016922
EDDH,158129,LEMG,36.67490005493164,-4.499110221862793,53.630401611328004,9.988229751586902
EGPH,149393,LEMG,36.67490005493164,-4.499110221862793,55.95000076293945,-3.372499942779541
EDDL,148061,LEMG,36.67490005493164,-4.499110221862793,51.289501,6.766780000000001
EDDK,137418,LEMG,36.67490005493164,-4.499110221862793,50.865898132299996,7.1427397728
LIMC,135896,LEMG,36.67490005493164,-4.499110221862793,45.6306,8.728110000000001
EGAA,117603,LEMG,36.67490005493164,-4.499110221862793,54.6575012207,-6.21582984924
EHRD,116148,LEMG,36.67490005493164,-4.499110221862793,51.956902,4.43722
GCXO,115118,LEMG,36.67490005493164,-4.499110221862793,28.4827003479,-16.341499328599998
EDDF,113860,LEMG,36.67490005493164,-4.499110221862793,50.033333,8.570556
LTBA,111618,LEMG,36.67490005493164,-4.499110221862793,40.976898,28.8146
GCLP,110578,LEMG,36.67490005493164,-4.499110221862793,27.931900024414066,-15.38659954071045
EICK,107637,LEMG,36.67490005493164,-4.499110221862793,51.84130096435547,-8.491109848022461
EDLV,107159,LEMG,36.67490005493164,-4.499110221862793,51.6024017334,6.14216995239
UUEE,104698,LEMG,36.67490005493164,-4.499110221862793,55.972599,37.4146
LEST,96525,LEMG,36.67490005493164,-4.499110221862793,42.89630126953125,-8.415140151977539
EBCI,94027,LEMG,36.67490005493164,-4.499110221862793,50.459202000000005,4.4538199999999994
EDDT,88689,LEMG,36.67490005493164,-4.499110221862793,52.5597,13.2877
ESGG,86800,LEMG,36.67490005493164,-4.499110221862793,57.662799835205,12.279800415039
LOWW,84038,LEMG,36.67490005493164,-4.499110221862793,48.110298156738004,16.569700241089002
LEIB,83946,LEMG,36.67490005493164,-4.499110221862793,38.8728981018,1.3731199502899998
EGMC,83563,LEMG,36.67490005493164,-4.499110221862793,51.5713996887207,0.6955559849739075
EKBI,82530,LEMG,36.67490005493164,-4.499110221862793,55.7402992249,9.15178012848
EPWA,77339,LEMG,36.67490005493164,-4.499110221862793,52.1656990051,20.9671001434
ENRY,76920,LEMG,36.67490005493164,-4.499110221862793,59.378817000000005,10.785439
