airpt,value,airpt_lat,airpt_lon
LEMD,830800,40.471926,-3.56264
LEPA,570596,39.551700591999996,2.73881006241
EGSS,307739,51.8849983215,0.23499999940400002
LFPG,302616,49.012798,2.55
LEZL,272224,37.41799926757813,-5.8931097984313965
LIMC,194860,45.6306,8.728110000000001
LEBL,186905,41.2971,2.0784599999999998
LEIB,169825,38.8728981018,1.3731199502899998
LEBB,168548,43.30110168457031,-2.9106099605560303
EBBR,158258,50.9014015198,4.48443984985
EGKK,142396,51.148102,-0.190278
EDDM,132964,48.353802,11.7861
LIME,111969,45.673901,9.70417
LIRA,104884,41.7994,12.5949
LFPO,102515,48.7233333,2.3794444
EGLL,84957,51.4706,-0.461941
EGGD,80390,51.382702,-2.71909
GCTS,72163,28.044500351,-16.5725002289
LIRF,64897,41.800277799999996,12.238888900000001
EGBE,59428,52.3697013855,-1.47971999645
EGCC,55808,53.35369873046875,-2.2749500274658203
EDDB,52964,52.380001,13.5225
EDDK,52077,50.865898132299996,7.1427397728
LEMG,50628,36.67490005493164,-4.499110221862793
