airpt_arr,value,airpt_dep,airpt_dep_lat,airpt_dep_lon,airpt_arr_lat,airpt_arr_lon
LEBL,709862,LEIB,38.8728981018,1.3731199502899998,41.2971,2.0784599999999998
LEMD,591454,LEIB,38.8728981018,1.3731199502899998,40.471926,-3.56264
LEPA,342685,LEIB,38.8728981018,1.3731199502899998,39.551700591999996,2.73881006241
EGKK,187644,LEIB,38.8728981018,1.3731199502899998,51.148102,-0.190278
EGCC,182754,LEIB,38.8728981018,1.3731199502899998,53.35369873046875,-2.2749500274658203
LIMC,181281,LEIB,38.8728981018,1.3731199502899998,45.6306,8.728110000000001
EGSS,174324,LEIB,38.8728981018,1.3731199502899998,51.8849983215,0.23499999940400002
LEVC,135376,LEIB,38.8728981018,1.3731199502899998,39.4893,-0.481625
EDDL,112133,LEIB,38.8728981018,1.3731199502899998,51.289501,6.766780000000001
EGBB,91440,LEIB,38.8728981018,1.3731199502899998,52.4538993835,-1.7480299472799998
LIME,83103,LEIB,38.8728981018,1.3731199502899998,45.673901,9.70417
EGNX,79451,LEIB,38.8728981018,1.3731199502899998,52.8311004639,-1.32806003094
EGNT,73456,LEIB,38.8728981018,1.3731199502899998,55.037498474121094,-1.6916699409484863
EDDK,67835,LEIB,38.8728981018,1.3731199502899998,50.865898132299996,7.1427397728
EDDF,66825,LEIB,38.8728981018,1.3731199502899998,50.033333,8.570556
EGPF,62494,LEIB,38.8728981018,1.3731199502899998,55.8718986511,-4.43306016922
EGGW,61964,LEIB,38.8728981018,1.3731199502899998,51.87469863891602,-0.36833301186561584
LEGE,61518,LEIB,38.8728981018,1.3731199502899998,41.901000976999995,2.7605500221
LIRF,57366,LEIB,38.8728981018,1.3731199502899998,41.800277799999996,12.238888900000001
LEBB,56891,LEIB,38.8728981018,1.3731199502899998,43.30110168457031,-2.9106099605560303
EGNM,55602,LEIB,38.8728981018,1.3731199502899998,53.86589813232422,-1.6605700254440308
EDDM,54273,LEIB,38.8728981018,1.3731199502899998,48.353802,11.7861
EHAM,53635,LEIB,38.8728981018,1.3731199502899998,52.308601,4.76389
LIPX,46621,LEIB,38.8728981018,1.3731199502899998,45.395699,10.8885
EDDS,43779,LEIB,38.8728981018,1.3731199502899998,48.6898994446,9.22196006775
LEAL,40367,LEIB,38.8728981018,1.3731199502899998,38.28219985961914,-0.5581560134887695
