airpt,value,airpt_lat,airpt_lon
EGKK,751864,51.148102,-0.190278
EGCC,734033,53.35369873046875,-2.2749500274658203
EGNX,287987,52.8311004639,-1.32806003094
EGBB,281106,52.4538993835,-1.7480299472799998
EGPF,243733,55.8718986511,-4.43306016922
LEMD,238840,40.471926,-3.56264
EBBR,235446,50.9014015198,4.48443984985
EDDL,227435,51.289501,6.766780000000001
EGSS,222197,51.8849983215,0.23499999940400002
EHAM,199095,52.308601,4.76389
EGNT,176890,55.037498474121094,-1.6916699409484863
EGGD,172001,51.382702,-2.71909
EGNM,169589,53.86589813232422,-1.6605700254440308
EDDM,167935,48.353802,11.7861
EIDW,152647,53.421299,-6.27007
EBCI,144323,50.459202000000005,4.4538199999999994
EGPH,140911,55.95000076293945,-3.372499942779541
EDDF,140411,50.033333,8.570556
EDDH,139477,53.630401611328004,9.988229751586902
EDDK,139397,50.865898132299996,7.1427397728
EFHK,134583,60.317199707031,24.963300704956
EGGW,123372,51.87469863891602,-0.36833301186561584
LIME,108393,45.673901,9.70417
LEBL,106085,41.2971,2.0784599999999998
EDDB,104431,52.380001,13.5225
ESSA,101565,59.651901245116996,17.918600082397
EDDS,100778,48.6898994446,9.22196006775
EKCH,100499,55.617900848389,12.656000137328999
EDDV,92561,52.461101532,9.68507957458
ENGM,91043,60.193901062011996,11.100399971008
UUEE,88504,55.972599,37.4146
LEST,88495,42.89630126953125,-8.415140151977539
EGPK,80954,55.5093994140625,-4.586669921875
LSZH,80670,47.464698999999996,8.54917
EDDT,79145,52.5597,13.2877
LIMC,77258,45.6306,8.728110000000001
LFSB,75298,47.59,7.5291667
EGAA,75240,54.6575012207,-6.21582984924
